LAT,LON,YEAR,MO,DY,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M,PRECTOT,WS10M,PS,QV2M,ALLSKY_SFC_SW_DWN
-37.63269,145.79811,1981,10,23,3.1,3.11,14.21,3.59,8.58,0,1.27,97.73,4.88,-999
-37.63269,145.79811,1981,10,24,4.02,4.03,16.97,2.82,10.22,0,0.85,97.67,5.29,-999
-37.63269,145.79811,1981,10,25,7.86,7.86,18.97,5.81,12.36,0.02,1.36,97.25,6.89,-999
-37.63269,145.79811,1981,10,26,10.62,10.62,21.29,6.58,14.65,0.18,1.5,96.86,8.35,-999
-37.63269,145.79811,1981,10,27,11.46,11.46,21.96,12.11,17.09,6.49,2.25,96.29,8.96,-999
-37.63269,145.79811,1981,10,28,9.23,9.23,19.08,8.55,13.96,3.43,0.96,97.15,7.53,-999
-37.63269,145.79811,1981,10,29,9.38,9.38,19.28,7.78,13.95,0.07,1.2,97.5,7.58,-999
-37.63269,145.79811,1981,10,30,9.35,9.35,18.67,9.22,13.51,0.04,1.13,97.51,7.54,-999
-37.63269,145.79811,1981,10,31,7.39,7.39,17.31,7.35,11.95,0,1.33,97.7,6.57,-999
-37.63269,145.79811,1981,11,1,8.81,8.81,19.51,6.73,12.91,0.64,1.22,97.8,7.31,-999
-37.63269,145.79811,1981,11,2,9.5,9.5,21.23,8.15,14.94,0,0.82,97.41,7.67,-999
-37.63269,145.79811,1981,11,3,12.59,12.59,22.11,10.23,16.76,0.35,1.33,96.7,9.5,-999
-37.63269,145.79811,1981,11,4,9.9,9.9,16.09,9.02,13.48,14.45,1.71,96.16,8.08,-999
-37.63269,145.79811,1981,11,5,4.83,4.84,15.41,6.73,10.81,0.37,1.53,96.86,5.56,-999
-37.63269,145.79811,1981,11,6,5.63,5.63,13.65,4.91,8.75,2.25,1.3,97.44,5.87,-999
-37.63269,145.79811,1981,11,7,5.4,5.41,19.08,3.43,11.32,0.01,0.81,97.7,5.84,-999
-37.63269,145.79811,1981,11,8,9.88,9.88,21.44,7.58,14.8,0.01,0.98,97.29,7.89,-999
-37.63269,145.79811,1981,11,9,13.47,13.47,19.89,11.33,15.52,7.67,1.26,96.49,10.13,-999
-37.63269,145.79811,1981,11,10,10.55,10.55,17.55,9.38,13.18,13.07,2.42,96,8.34,-999
-37.63269,145.79811,1981,11,11,5.01,5.02,14.28,7.08,10.22,1.91,2.29,96.45,5.68,-999
-37.63269,145.79811,1981,11,12,6.16,6.16,13.51,6.42,9.16,5.34,1.18,96.39,6.14,-999
-37.63269,145.79811,1981,11,13,6.48,6.48,13.92,5.85,9.66,6.15,1.21,96.46,6.27,-999
-37.63269,145.79811,1981,11,14,5.73,5.73,16.32,5.26,10.35,0.46,0.92,96.67,5.94,-999
-37.63269,145.79811,1981,11,15,5.99,5.99,11.27,6.08,8.8,3.89,1.62,96.72,6.06,-999
-37.63269,145.79811,1981,11,16,2.47,2.49,11.37,4.51,7.38,2.8,1.83,97.2,4.71,-999
-37.63269,145.79811,1981,11,17,7.74,7.74,11.94,5.51,8.67,5.22,1.15,97.47,6.84,-999
-37.63269,145.79811,1981,11,18,8.57,8.57,18.56,7.93,12.48,1.58,1.13,97.56,7.17,-999
-37.63269,145.79811,1981,11,19,9.78,9.78,19.25,6.45,13.33,4.02,0.69,97.09,8.02,-999
-37.63269,145.79811,1981,11,20,12.09,12.09,17.35,10.62,14.58,3.65,1.33,96.9,9.11,-999
-37.63269,145.79811,1981,11,21,9.11,9.11,19.8,9.15,14.2,0.33,0.94,97.26,7.43,-999
-37.63269,145.79811,1981,11,22,11.29,11.29,22.55,9.69,16.27,0.25,1.12,97.11,8.66,-999
-37.63269,145.79811,1981,11,23,12.06,12.07,23.48,11.57,17.75,0.13,1.41,96.73,9.11,-999
-37.63269,145.79811,1981,11,24,11.02,11.02,17.34,9.35,14.25,8.35,1.16,96.74,8.57,-999
-37.63269,145.79811,1981,11,25,8.77,8.77,21.77,7.57,14.43,0.24,1.09,96.75,7.35,-999
-37.63269,145.79811,1981,11,26,10.5,10.5,23.26,9.42,16.2,0.06,1.02,96.68,8.26,-999
-37.63269,145.79811,1981,11,27,12.18,12.19,26.63,10.19,18.88,0.11,1.13,96.36,9.33,-999
-37.63269,145.79811,1981,11,28,14.68,14.68,25.65,14.43,19.42,4.07,1.08,95.95,11,-999
-37.63269,145.79811,1981,11,29,12.44,12.44,22.49,11.16,17.22,1.68,1.18,96.15,9.51,-999
-37.63269,145.79811,1981,11,30,7.55,7.56,19.85,8.72,14.07,0.23,1.4,96.53,6.74,-999
-37.63269,145.79811,1981,12,1,6.44,6.45,19.78,7.99,13.65,0.02,1.22,96.72,6.25,-999
-37.63269,145.79811,1981,12,2,8.61,8.62,24.19,8.81,16.77,1.19,1.03,96.31,7.35,-999
-37.63269,145.79811,1981,12,3,9.77,9.78,20.15,9.76,15.69,1.29,1.5,96.26,7.92,-999
-37.63269,145.79811,1981,12,4,6.26,6.28,26.01,6.64,17.43,0.01,1.29,96.18,6.26,-999
-37.63269,145.79811,1981,12,5,7,7.01,22.12,11.65,17.38,0,1.63,96.03,6.55,-999
-37.63269,145.79811,1981,12,6,8.12,8.12,23.09,9.96,16.34,0.28,1.57,96.26,7.06,-999
-37.63269,145.79811,1981,12,7,5.91,5.93,16.74,10.79,14.49,1.63,2.78,95.98,6.24,-999
-37.63269,145.79811,1981,12,8,6.6,6.6,15.62,7.92,11.49,2.86,2.26,96.27,6.34,-999
-37.63269,145.79811,1981,12,9,7.55,7.56,17.16,8.96,12.25,4.13,1.93,96.59,6.75,-999
-37.63269,145.79811,1981,12,10,6.42,6.43,24.06,7.57,16.34,0.14,1.02,96.57,6.24,-999
-37.63269,145.79811,1981,12,11,6.98,6.99,26.82,14.67,19.74,5.79,2.85,95.72,6.69,-999
-37.63269,145.79811,1981,12,12,11.07,11.08,20.61,11.11,15.87,8.92,1.74,96.01,8.64,-999
-37.63269,145.79811,1981,12,13,6.81,6.82,14.95,7.83,11,8.06,1.61,96.99,6.39,-999
-37.63269,145.79811,1981,12,14,6.63,6.63,16.92,6.89,11.38,3.08,1.57,97.62,6.26,-999
-37.63269,145.79811,1981,12,15,6.54,6.55,21.91,7.16,14.52,0.02,1.02,97.45,6.24,-999
-37.63269,145.79811,1981,12,16,7.01,7.02,27,9.16,18.72,0,0.88,96.98,6.51,-999
-37.63269,145.79811,1981,12,17,8.38,8.38,29.82,13.92,21.94,0.01,1.57,96.47,7.17,-999
-37.63269,145.79811,1981,12,18,9.92,9.92,27.75,12.39,19.7,0.39,1.08,96.09,7.95,-999
-37.63269,145.79811,1981,12,19,6.34,6.36,20.26,9.79,14.92,0.33,1.47,96.47,6.28,-999
-37.63269,145.79811,1981,12,20,5.46,5.47,21.02,7.8,14.15,0.12,1.24,97.22,5.79,-999
-37.63269,145.79811,1981,12,21,6.43,6.44,23.77,8.81,16.7,0,1.1,97.1,6.24,-999
-37.63269,145.79811,1981,12,22,8.11,8.12,22.85,9.71,16.21,0.02,1.29,96.83,7,-999
-37.63269,145.79811,1981,12,23,6.9,6.91,24.34,8.53,15.97,0.02,1.48,96.81,6.45,-999
-37.63269,145.79811,1981,12,24,7.26,7.27,22.29,9.83,15.31,0.17,1.64,96.96,6.6,-999
-37.63269,145.79811,1981,12,25,7.61,7.62,23.09,7.69,15.82,0,1.55,96.99,6.74,-999
-37.63269,145.79811,1981,12,26,10.07,10.07,19.07,11.7,14.82,1.94,1.64,96.95,7.96,-999
-37.63269,145.79811,1981,12,27,10.73,10.73,19.98,11.33,15.02,1.27,1.52,96.67,8.34,-999
-37.63269,145.79811,1981,12,28,9.57,9.58,25.51,10.89,17.89,0.02,1.17,96.25,7.76,-999
-37.63269,145.79811,1981,12,29,7.58,7.59,24.62,10.92,17.64,0.17,1.26,96.58,6.79,-999
-37.63269,145.79811,1981,12,30,5.14,5.18,31.16,9.59,21.13,0.02,0.9,96.9,5.83,-999
-37.63269,145.79811,1981,12,31,8.44,8.45,33.04,15.91,23.91,0.96,1.61,96.46,7.2,-999
-37.63269,145.79811,1982,1,1,7.77,7.78,25.44,13.59,19.9,0.24,2.18,96.12,7.09,-999
-37.63269,145.79811,1982,1,2,7.18,7.19,21.7,11.46,15.74,0.63,1.88,96.57,6.6,-999
-37.63269,145.79811,1982,1,3,7.97,7.98,23.53,9.6,16.17,0.09,1.76,96.8,6.92,-999
-37.63269,145.79811,1982,1,4,5.11,5.13,21.25,9.95,15.13,0.1,1.51,96.89,5.74,-999
-37.63269,145.79811,1982,1,5,2.05,2.12,26.68,7.24,16.9,0.06,1.15,96.92,4.66,-999
-37.63269,145.79811,1982,1,6,6.78,6.79,25.6,11.63,18.38,1.67,1.16,96.45,6.52,-999
-37.63269,145.79811,1982,1,7,7.28,7.29,19.47,9.47,13.98,3.15,1.82,96.6,6.71,-999
-37.63269,145.79811,1982,1,8,10.07,10.07,24.3,10.08,16.76,0.13,1.33,96.99,7.98,-999
-37.63269,145.79811,1982,1,9,8.93,8.94,30.38,10.87,20.92,0,1.09,97.16,7.43,-999
-37.63269,145.79811,1982,1,10,9.88,9.88,33.63,14.63,24.55,0.02,1.4,96.87,7.97,-999
-37.63269,145.79811,1982,1,11,9.66,9.67,36.67,20.57,28.59,0.17,1.9,96.55,7.81,-999
-37.63269,145.79811,1982,1,12,13.05,13.05,31.64,15.3,24.42,1.96,2.07,96.4,9.78,-999
-37.63269,145.79811,1982,1,13,6.36,6.38,22.39,11.69,16.75,0.2,1.87,97.14,6.34,-999
-37.63269,145.79811,1982,1,14,7.33,7.33,26.76,9.17,17.83,0.25,1.49,97.36,6.59,-999
-37.63269,145.79811,1982,1,15,8.43,8.43,30.9,11.33,21.23,0,1.18,97.32,7.12,-999
-37.63269,145.79811,1982,1,16,9.14,9.15,32.73,16.03,24.3,0.41,1.14,97.07,7.53,-999
-37.63269,145.79811,1982,1,17,10.17,10.17,29.29,15.75,22.82,1.52,1.55,97.04,8.03,-999
-37.63269,145.79811,1982,1,18,11,11.01,31.09,12.5,21.63,0.29,1.6,97.14,8.51,-999
-37.63269,145.79811,1982,1,19,9.6,9.61,34.4,15.22,25.03,0,0.85,96.96,7.84,-999
-37.63269,145.79811,1982,1,20,12.59,12.59,36.59,20.83,27.77,0.01,1.55,96.73,9.56,-999
-37.63269,145.79811,1982,1,21,11.81,11.81,36.75,19.6,26.87,0.95,1.49,96.54,9.11,-999
-37.63269,145.79811,1982,1,22,10,10,25.61,14.07,19.55,0.2,1.33,96.73,7.98,-999
-37.63269,145.79811,1982,1,23,7.58,7.61,35.48,11.94,24.92,0.07,0.84,96.47,7.02,-999
-37.63269,145.79811,1982,1,24,13.88,13.89,42.35,20.02,31.76,9.3,2.31,95.86,10.48,-999
-37.63269,145.79811,1982,1,25,15.54,15.54,20.9,12.54,17.65,49.06,1.2,95.73,11.65,-999
-37.63269,145.79811,1982,1,26,6.07,6.08,16.6,9.88,12.74,4.34,2.4,96.43,6.13,-999
-37.63269,145.79811,1982,1,27,7.45,7.45,22.81,8,15.39,0.73,1.2,97.02,6.66,-999
-37.63269,145.79811,1982,1,28,8.32,8.33,27.12,9.46,19.04,0.02,1.61,96.55,7.1,-999
-37.63269,145.79811,1982,1,29,10.37,10.38,31.67,15.74,23.06,4.85,1.71,96.06,8.34,-999
-37.63269,145.79811,1982,1,30,10.52,10.53,22.47,12.33,17,2.9,1.3,96.17,8.37,-999
-37.63269,145.79811,1982,1,31,8.46,8.47,20.91,9.75,15.3,0.15,1.47,96.58,7.17,-999
-37.63269,145.79811,1982,2,1,6.21,6.22,21.28,10.05,15.52,0.07,1.65,96.98,6.12,-999
-37.63269,145.79811,1982,2,2,7.64,7.65,24.84,8.48,17.1,0.01,1.1,97.17,6.77,-999
-37.63269,145.79811,1982,2,3,9.2,9.2,22.85,10.97,16.92,0,0.91,97.26,7.5,-999
-37.63269,145.79811,1982,2,4,8.86,8.86,22.88,10.36,16.06,0,1.7,97.51,7.34,-999
-37.63269,145.79811,1982,2,5,4.01,4.07,28.26,7.59,17.77,0,0.99,97.56,5.33,-999
-37.63269,145.79811,1982,2,6,8.49,8.5,31.14,11.42,22.15,0,1.69,97.18,7.18,-999
-37.63269,145.79811,1982,2,7,10.05,10.05,35.18,18.27,26.51,0,1.54,96.76,8.02,-999
-37.63269,145.79811,1982,2,8,10.99,10.99,35.38,18.28,26.19,0.94,1.63,96.32,8.63,-999
-37.63269,145.79811,1982,2,9,9.11,9.12,21.62,11.4,16.95,0.43,1.72,96.75,7.61,-999
-37.63269,145.79811,1982,2,10,8.46,8.47,30.93,9.1,19.63,0.01,1.08,96.76,7.19,-999
-37.63269,145.79811,1982,2,11,10.94,10.94,26.97,13.58,19.92,0,1.15,96.93,8.48,-999
-37.63269,145.79811,1982,2,12,12.13,12.13,34.17,14.05,24.65,0.11,0.9,97.11,9.18,-999
-37.63269,145.79811,1982,2,13,13.34,13.34,35.43,18.58,27.17,0.29,1.2,97.15,9.9,-999
-37.63269,145.79811,1982,2,14,13.09,13.09,36.29,21.19,28.44,0,1.33,96.93,9.75,-999
-37.63269,145.79811,1982,2,15,10.74,10.75,34.99,21.92,28.39,0.18,2.18,96.49,8.4,-999
-37.63269,145.79811,1982,2,16,13.71,13.71,24.64,14.93,21.39,2.99,1.29,96.65,10.25,-999
-37.63269,145.79811,1982,2,17,7.78,7.79,26.79,12.87,19.44,0,1.67,96.47,6.97,-999
-37.63269,145.79811,1982,2,18,6,6.01,20.61,11.87,15.69,0.29,2.06,96.83,6.04,-999
-37.63269,145.79811,1982,2,19,5.57,5.6,24.96,9.55,17.09,0.04,0.9,97.2,5.9,-999
-37.63269,145.79811,1982,2,20,7.41,7.41,24.26,14.68,19.47,2.36,2.66,96.42,6.73,-999
-37.63269,145.79811,1982,2,21,8.17,8.18,23.26,12.71,17.39,0.37,1.63,97.14,7.02,-999
-37.63269,145.79811,1982,2,22,7.66,7.67,29.94,10.23,19.82,0,1.15,97.04,6.84,-999
-37.63269,145.79811,1982,2,23,9.87,9.87,23.03,11.15,16.75,0.24,1.51,96.77,7.91,-999
-37.63269,145.79811,1982,2,24,3.39,3.45,24.04,8.39,15.34,0,1.49,96.94,5.15,-999
-37.63269,145.79811,1982,2,25,6.5,6.51,26.68,8.4,17.43,0.04,1.18,96.9,6.26,-999
-37.63269,145.79811,1982,2,26,5.56,5.58,17.53,8.06,13.04,1.15,1.96,97.14,6.04,-999
-37.63269,145.79811,1982,2,27,2.04,2.11,25.05,5.61,14.61,0.01,1.2,97.17,4.64,-999
-37.63269,145.79811,1982,2,28,4.4,4.43,23.84,8.82,15.68,0,1.03,96.89,5.48,-999
-37.63269,145.79811,1982,3,1,6.57,6.58,17.83,8.83,12.49,0.58,1.59,96.86,6.3,-999
-37.63269,145.79811,1982,3,2,2.52,2.59,25.75,6.88,15.48,0,1.29,97.51,4.79,-999
-37.63269,145.79811,1982,3,3,6.03,6.04,29.38,9.55,19.03,0.01,0.84,97.71,6.03,-999
-37.63269,145.79811,1982,3,4,8.7,8.71,30.79,14.7,22.65,0.13,1.13,97.5,7.26,-999
-37.63269,145.79811,1982,3,5,9.43,9.44,32.41,16.69,23.7,0.14,1.1,97.12,7.63,-999
-37.63269,145.79811,1982,3,6,12.03,12.04,24.28,17.26,20.23,5.62,1.1,96.92,9.21,-999
-37.63269,145.79811,1982,3,7,12.75,12.75,29.75,16.81,22.78,0.05,1.18,96.53,9.6,-999
-37.63269,145.79811,1982,3,8,11.18,11.18,24.2,9.51,18.76,23.05,2.38,96.19,8.87,-999
-37.63269,145.79811,1982,3,9,3.14,3.18,19.4,7.27,12.44,0.06,1.44,97.01,5,-999
-37.63269,145.79811,1982,3,10,7.41,7.41,19.01,5.88,12.35,1.45,1.19,96.74,6.76,-999
-37.63269,145.79811,1982,3,11,5.32,5.34,21.65,8.26,14.33,0.06,1.07,97,5.81,-999
-37.63269,145.79811,1982,3,12,9.02,9.02,25.03,9.78,16.68,0.5,1.19,97.25,7.43,-999
-37.63269,145.79811,1982,3,13,10.99,10.99,28.23,11.77,19.04,0.45,1.01,97.3,8.45,-999
-37.63269,145.79811,1982,3,14,11.31,11.31,29.47,13.35,20.66,0.69,0.87,97.34,8.65,-999
-37.63269,145.79811,1982,3,15,14.62,14.62,28.71,15.72,21.49,3.53,1.23,97.27,10.82,-999
-37.63269,145.79811,1982,3,16,15.8,15.81,26.38,16.27,21.79,3.5,1.18,97.19,11.59,-999
-37.63269,145.79811,1982,3,17,10.89,10.89,21.48,11.4,16.23,0.4,1.45,97.43,8.5,-999
-37.63269,145.79811,1982,3,18,5.36,5.38,23.18,8.56,14.99,0.17,1.34,97.55,5.79,-999
-37.63269,145.79811,1982,3,19,8.54,8.54,26.75,8.28,17.06,0.31,0.77,97.46,7.17,-999
-37.63269,145.79811,1982,3,20,9.82,9.82,27.83,12.23,19.87,0.04,1.33,97.4,7.81,-999
-37.63269,145.79811,1982,3,21,9.35,9.35,27.84,16.8,21.42,0.2,1.5,97.29,7.56,-999
-37.63269,145.79811,1982,3,22,11.72,11.72,26.82,15.3,21.44,2.94,2.45,96.65,9.04,-999
-37.63269,145.79811,1982,3,23,11.12,11.12,18.04,10.19,14.92,22.1,1.64,96.98,8.79,-999
-37.63269,145.79811,1982,3,24,10.27,10.27,18.74,9.63,13.73,1.86,1.51,97.21,8.19,-999
-37.63269,145.79811,1982,3,25,13.75,13.75,24.12,12.4,17.7,2.13,0.81,96.99,10.2,-999
-37.63269,145.79811,1982,3,26,12.19,12.19,24.52,13.52,18.63,0.64,0.97,96.93,9.21,-999
-37.63269,145.79811,1982,3,27,10.11,10.11,23.63,11.86,17.48,3.02,1.12,96.66,8.09,-999
-37.63269,145.79811,1982,3,28,7.6,7.6,18.33,8.92,13.21,6.48,0.98,96.64,6.9,-999
-37.63269,145.79811,1982,3,29,11.46,11.46,16.29,10.84,12.75,12.18,1.6,97.19,8.71,-999
-37.63269,145.79811,1982,3,30,9.06,9.06,19.61,10.03,13.76,0.41,1.23,97.7,7.39,-999
-37.63269,145.79811,1982,3,31,7.6,7.61,22.67,7.51,14.32,0.01,0.93,97.85,6.7,-999
-37.63269,145.79811,1982,4,1,8.28,8.29,24.5,9.33,16.7,0.1,1.43,97.53,7.03,-999
-37.63269,145.79811,1982,4,2,10.03,10.04,19.76,9.09,15.65,2.14,2.14,96.85,8.04,-999
-37.63269,145.79811,1982,4,3,4.07,4.08,15.2,7.32,10.5,0.77,1.37,97.4,5.25,-999
-37.63269,145.79811,1982,4,4,3.32,3.34,18.36,6.18,11.46,0.02,0.91,97.3,5,-999
-37.63269,145.79811,1982,4,5,6.06,6.06,18.43,4.87,11.42,0.07,1.28,97.3,6.08,-999
-37.63269,145.79811,1982,4,6,9.07,9.07,19.71,8.84,13.13,0.01,1.24,97.48,7.41,-999
-37.63269,145.79811,1982,4,7,9.78,9.78,19.31,9.77,13.7,0.23,1.17,97.38,7.77,-999
-37.63269,145.79811,1982,4,8,8.11,8.12,21.04,9.42,14.23,0.27,1.08,97.44,6.99,-999
-37.63269,145.79811,1982,4,9,8.38,8.38,22.1,9.11,15.3,0.01,1.06,97.59,7.06,-999
-37.63269,145.79811,1982,4,10,8.88,8.89,23.79,12.42,17.41,0.1,0.92,97.78,7.32,-999
-37.63269,145.79811,1982,4,11,8.78,8.78,23.43,11.5,16.27,0.03,1.16,97.92,7.26,-999
-37.63269,145.79811,1982,4,12,8.52,8.53,24.75,10.05,16.8,0.04,0.89,97.96,7.16,-999
-37.63269,145.79811,1982,4,13,7.77,7.78,23.24,12.08,16.97,0.01,1.48,97.81,6.77,-999
-37.63269,145.79811,1982,4,14,7.85,7.85,26.2,11.74,18.23,0.39,1.38,97.83,6.81,-999
-37.63269,145.79811,1982,4,15,10.01,10.02,25.56,12.64,18.1,11.01,1.66,97.47,8.02,-999
-37.63269,145.79811,1982,4,16,6.98,6.99,15.6,6.39,11.61,10.39,1.2,97.68,6.59,-999
-37.63269,145.79811,1982,4,17,3.79,3.8,16.08,4.3,9.35,0.06,1.13,97.52,5.14,-999
-37.63269,145.79811,1982,4,18,6.76,6.76,15.05,5.69,9.85,0.61,1.13,97.62,6.33,-999
-37.63269,145.79811,1982,4,19,5.9,5.9,18.3,5.93,11.13,0.06,0.97,97.56,5.97,-999
-37.63269,145.79811,1982,4,20,5.61,5.62,18.46,6.11,11.36,0.01,1.01,97.74,5.84,-999
-37.63269,145.79811,1982,4,21,4.65,4.66,20.14,5.41,12.37,0,1,97.63,5.48,-999
-37.63269,145.79811,1982,4,22,3.14,3.16,20.47,7.18,13.43,0.01,1.5,97.29,4.93,-999
-37.63269,145.79811,1982,4,23,5.02,5.04,20.79,9.92,14.6,0.46,1.49,96.96,5.66,-999
-37.63269,145.79811,1982,4,24,4.81,4.83,22.53,12.79,16.74,0.48,1.77,96.4,5.68,-999
-37.63269,145.79811,1982,4,25,7.2,7.21,13.35,5.99,10.38,10.39,1.53,96.11,6.69,-999
-37.63269,145.79811,1982,4,26,2.96,2.97,11.35,3.67,6.75,3.94,2.14,95.95,4.95,-999
-37.63269,145.79811,1982,4,27,4.9,4.9,5.93,4.56,5.37,10.69,1.21,95.72,5.66,-999
-37.63269,145.79811,1982,4,28,7.12,7.12,9.66,6.22,7.66,17.24,1.35,96.31,6.56,-999
-37.63269,145.79811,1982,4,29,6.96,6.96,12.92,6.97,9.31,3.06,1.25,97.23,6.43,-999
-37.63269,145.79811,1982,4,30,8.12,8.12,14.35,8.63,10.5,0.48,0.92,97.75,6.92,-999
-37.63269,145.79811,1982,5,1,6.7,6.71,17.31,7.42,11.34,0,0.75,97.81,6.3,-999
-37.63269,145.79811,1982,5,2,5.21,5.21,16.89,5.11,10.63,0.03,1.39,97.39,5.68,-999
-37.63269,145.79811,1982,5,3,4.36,4.37,17.89,10.09,13.35,0.01,1.91,96.87,5.38,-999
-37.63269,145.79811,1982,5,4,5.9,5.91,17.46,9.68,13.13,2.38,1.94,96.65,6.02,-999
-37.63269,145.79811,1982,5,5,8.69,8.69,12.54,9.5,10.69,11.47,1.99,96.15,7.34,-999
-37.63269,145.79811,1982,5,6,6.55,6.55,10.98,6.83,8.75,5.71,2.18,96.27,6.31,-999
-37.63269,145.79811,1982,5,7,6.32,6.33,10.55,5.65,7.93,1.69,1.37,97.03,6.17,-999
-37.63269,145.79811,1982,5,8,5.14,5.15,11.73,4.67,7.41,0.6,1.01,97.45,5.66,-999
-37.63269,145.79811,1982,5,9,4,4,11.37,3.42,6.87,0.39,1.48,97.21,5.23,-999
-37.63269,145.79811,1982,5,10,5.7,5.7,13.18,5.73,8.53,2.45,1.73,96.87,5.95,-999
-37.63269,145.79811,1982,5,11,5.95,5.95,9.22,5.26,7.18,2.38,1.38,97.2,6,-999
-37.63269,145.79811,1982,5,12,6.78,6.78,11.63,5.54,8.75,3.78,1.74,96.91,6.38,-999
-37.63269,145.79811,1982,5,13,6.79,6.79,9.12,5.08,7.67,6,1.21,96.95,6.38,-999
-37.63269,145.79811,1982,5,14,3.96,3.97,12.71,4.56,7.32,0.24,0.95,97.64,5.2,-999
-37.63269,145.79811,1982,5,15,2.2,2.22,15.05,3.68,8.24,0.06,1.16,98.12,4.6,-999
-37.63269,145.79811,1982,5,16,2.99,3,13.64,3.39,7.92,0.07,1.49,98.2,4.86,-999
-37.63269,145.79811,1982,5,17,5.76,5.76,17.85,6.71,11.95,0.04,1.51,97.91,5.89,-999
-37.63269,145.79811,1982,5,18,4.81,4.83,17.99,10.53,14.16,0.05,2.18,97.44,5.54,-999
-37.63269,145.79811,1982,5,19,5.54,5.54,15.92,6.48,10.81,8.29,2.52,97.09,5.87,-999
-37.63269,145.79811,1982,5,20,4.84,4.84,12.66,4.41,8.35,2.63,2.29,97.3,5.56,-999
-37.63269,145.79811,1982,5,21,3.72,3.72,9.3,3.68,5.78,9.83,2.27,96.97,5.18,-999
-37.63269,145.79811,1982,5,22,4.87,4.87,8.39,3.58,5.51,4.98,1.24,97.32,5.57,-999
-37.63269,145.79811,1982,5,23,6.96,6.96,9.4,5.39,7.13,4.11,1.04,97.53,6.42,-999
-37.63269,145.79811,1982,5,24,6.48,6.48,12.64,5.95,8.4,0.11,0.92,97.69,6.18,-999
-37.63269,145.79811,1982,5,25,5.6,5.6,14.63,5.95,9.52,0.32,1.3,97.6,5.82,-999
-37.63269,145.79811,1982,5,26,5.51,5.51,13.33,7.21,10.01,0.27,1.34,97.48,5.8,-999
-37.63269,145.79811,1982,5,27,5.81,5.82,15.88,9.65,12.42,0.25,1.84,96.98,6.02,-999
-37.63269,145.79811,1982,5,28,10.51,10.52,13.91,9.71,11.88,3.25,1.39,96.81,8.23,-999
-37.63269,145.79811,1982,5,29,8.33,8.33,13.59,6.57,9.6,3.08,0.85,97.05,7.07,-999
-37.63269,145.79811,1982,5,30,6.11,6.12,13.77,5.34,8.75,6.11,2.04,96.69,6.09,-999
-37.63269,145.79811,1982,5,31,5.3,5.3,7.3,2.97,5.76,17.15,1.36,97.09,5.75,-999
-37.63269,145.79811,1982,6,1,5.1,5.1,8.39,2.75,5.9,2.05,1.36,97.61,5.68,-999
